review,label,confidence,tanggal,review_cleaned,review_clean
Aplikasi sering error saat pembayaran,Objektif,0.912135972011711,2026-06-19 02:37:09,,
Aplikasinya bagus,Subjektif,0.8640848703958212,2026-06-19 02:38:32,,
Aplikasi seringkali mengalami bug,Objektif,0.6109,2026-06-19 03:08:02,,
Driver datang lebih cepat dari perkiraan dan sangat ramah selama perjalanan.,Subjektif,0.8983,2026-07-01 17:09:11,,
Aplikasi menyediakan pilihan layanan motor.,Objektif,0.7181,2026-07-01 17:09:11,,
Saya kecewa karena pengemudi membatalkan pesanan tanpa memberikan alasan.,Subjektif,0.6846,2026-07-01 17:09:11,,
Pembayaran dapat dilakukan menggunakan uang tunai maupun dompet digital.,Subjektif,0.5418,2026-07-01 17:09:11,,
Menurut saya tarif perjalanan pada jam sibuk terlalu mahal.,Objektif,0.6491,2026-07-01 17:09:11,,
Aplikasi menampilkan estimasi waktu kedatangan pengemudi sebelum perjalanan dimulai.,Subjektif,0.9038,2026-07-01 17:09:11,,
Fitur pelacakan lokasi secara real-time sangat membantu.,Objektif,0.5573,2026-07-01 17:09:11,,
Riwayat perjalanan dapat dilihat kembali melalui menu aktivitas.,Objektif,0.6097,2026-07-01 17:09:11,,
Saya sangat puas karena kendaraan yang digunakan bersih dan nyaman.,Subjektif,0.7124,2026-07-01 17:09:11,,
Aplikasi mengirimkan notifikasi ketika pengemudi telah tiba di lokasi penjemputan.,Objektif,0.7721,2026-07-01 17:09:11,,
Driver datang lebih cepat dari perkiraan dan sangat ramah selama perjalanan.,Subjektif,0.8983,2026-07-01 17:10:05,,
Aplikasi menyediakan pilihan layanan motor.,Objektif,0.7181,2026-07-01 17:10:05,,
Saya kecewa karena pengemudi membatalkan pesanan tanpa memberikan alasan.,Subjektif,0.6846,2026-07-01 17:10:05,,
Pembayaran dapat dilakukan menggunakan uang tunai maupun dompet digital.,Subjektif,0.5418,2026-07-01 17:10:05,,
Menurut saya tarif perjalanan pada jam sibuk terlalu mahal.,Objektif,0.6491,2026-07-01 17:10:05,,
Aplikasi menampilkan estimasi waktu kedatangan pengemudi sebelum perjalanan dimulai.,Subjektif,0.9038,2026-07-01 17:10:05,,
Fitur pelacakan lokasi secara real-time sangat membantu.,Objektif,0.5573,2026-07-01 17:10:05,,
Riwayat perjalanan dapat dilihat kembali melalui menu aktivitas.,Objektif,0.6097,2026-07-01 17:10:05,,
Saya sangat puas karena kendaraan yang digunakan bersih dan nyaman.,Subjektif,0.7124,2026-07-01 17:10:05,,
Aplikasi mengirimkan notifikasi ketika pengemudi telah tiba di lokasi penjemputan.,Objektif,0.7721,2026-07-01 17:10:05,,
Driver datang lebih cepat dari perkiraan dan sangat ramah selama perjalanan.,Subjektif,0.8983,2026-07-01 17:25:21,,
Aplikasi menyediakan pilihan layanan motor.,Objektif,0.7181,2026-07-01 17:25:21,,
Saya kecewa karena pengemudi membatalkan pesanan tanpa memberikan alasan.,Subjektif,0.6846,2026-07-01 17:25:21,,
Pembayaran dapat dilakukan menggunakan uang tunai maupun dompet digital.,Subjektif,0.5418,2026-07-01 17:25:21,,
Menurut saya tarif perjalanan pada jam sibuk terlalu mahal.,Objektif,0.6491,2026-07-01 17:25:21,,
Aplikasi menampilkan estimasi waktu kedatangan pengemudi sebelum perjalanan dimulai.,Subjektif,0.9038,2026-07-01 17:25:21,,
Fitur pelacakan lokasi secara real-time sangat membantu.,Objektif,0.5573,2026-07-01 17:25:21,,
Riwayat perjalanan dapat dilihat kembali melalui menu aktivitas.,Objektif,0.6097,2026-07-01 17:25:21,,
Saya sangat puas karena kendaraan yang digunakan bersih dan nyaman.,Subjektif,0.7124,2026-07-01 17:25:21,,
Aplikasi mengirimkan notifikasi ketika pengemudi telah tiba di lokasi penjemputan.,Objektif,0.7721,2026-07-01 17:25:21,,
Saya merasa senang dengan pelayanannya,Subjektif,0.6135,2026-07-02 01:25:12,,
Notifnya ganggu,Subjektif,0.8337,2026-07-02 01:25:40,,
Fitur notifikasinya ganggu,Subjektif,0.8115,2026-07-02 01:25:50,,
"Aplikasinya BAGUSSSS bgt!!! Driver2 dateng 5mnt lbh cepettt, tp pembayaran 15rb gagal 2x. Cek https://subride.com atau email ke user123@gmail.com yaa.",Objektif,0.9012,2026-07-02 12:52:12,aplikasinya bagus banget driver driver datang 5 menit lebih cepet tapi pembayaran 15 ribu gagal 2 kali cek atau email ke ya,
sdgksdrgdsumpah drivernya anjing banget,Subjektif,0.7605,2026-07-02 12:53:24,sdgksdrgdsumpah drivernya anjing banget,
fitur cari makanan tidak bisa dipencet,Objektif,0.7109,2026-07-02 12:53:43,fitur cari makanan tidak bisa dipencet,
"Aplikasinya BAGUSSSS bgt!!! Driver2 dateng 5mnt lbh cepettt, tp pembayaran 15rb gagal 2x.",Objektif,0.8642,2026-07-02 12:55:49,,aplikasinya bagus banget driver driver datang 5 menit lebih cepet tapi pembayaran 15 ribu gagal 2 kali
